"path","category","tracked","referenced","recommendation","reason"
"HeatupLogs/Heatup_Interval_001_0.00hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_20260214_164402/Heatup_Interval_034_8.25hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_20260214_164402/Heatup_Interval_035_8.50hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_20260214_164402/Heatup_Interval_036_8.75hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_20260214_164402/Heatup_Report_20260214_164402.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_20260214_164402/IP-0015_StageE_Rerun_2026-02-14_164359.md","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_001_0.00hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_002_0.25hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_003_0.50hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_004_0.75hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_005_1.00hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_006_1.25hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_007_1.50hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_008_1.75hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_009_2.00hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_010_2.25hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
"HeatupLogs/IP-0017_RunA_SameProcess_20260214_171456/Heatup_Interval_011_2.50hr.txt","Runtime log artifact","yes","True","KEEP","Referenced by governance/docs evidence"
