attempt_index,time_hr,converged,volume_residual_ft3,energy_residual_btu,failure_reason,pattern,iterations,phase_fraction,bubble_phase
1,7.835870,0,5.084961,438584.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
2,7.838647,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
3,7.838647,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
4,7.841425,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
5,7.844203,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
6,7.846980,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
7,7.849758,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
8,7.852535,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
9,7.855313,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
10,7.858090,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
11,7.860868,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
12,7.863646,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
13,7.866423,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
14,7.869201,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
15,7.871978,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
16,7.874756,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
17,7.877533,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
18,7.880311,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
19,7.883089,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
20,7.885866,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
21,7.888644,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
22,7.891421,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
23,7.894199,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
24,7.896976,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
25,7.899754,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
26,7.902532,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
27,7.905309,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
28,7.908087,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
29,7.910864,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
30,7.913642,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
31,7.916420,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
32,7.919197,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
33,7.921975,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
34,7.924752,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
35,7.927530,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
36,7.930307,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
37,7.933085,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
38,7.935863,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
39,7.938640,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
40,7.941418,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
41,7.944195,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
42,7.946973,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
43,7.949750,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
44,7.952528,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
45,7.955306,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
46,7.958083,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
47,7.960861,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
48,7.963638,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
49,7.966416,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
50,7.969193,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
51,7.971971,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
52,7.974749,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
53,7.977526,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
54,7.980304,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
55,7.983081,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
56,7.985859,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
57,7.988636,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
58,7.991414,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
59,7.994192,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
60,7.996969,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
61,7.999747,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
62,8.002524,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
63,8.005302,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
64,8.008080,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
65,8.010859,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
66,8.013637,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
67,8.016415,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
68,8.019193,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
69,8.021971,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
70,8.024749,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
71,8.027527,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
72,8.030305,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
73,8.033083,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
74,8.035861,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
75,8.038639,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
76,8.041417,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
77,8.044195,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
78,8.046973,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
79,8.049751,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
80,8.052529,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
81,8.055307,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
82,8.058085,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
83,8.060863,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
84,8.063642,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
85,8.066420,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
86,8.069198,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
87,8.071976,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
88,8.074754,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
89,8.077532,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
90,8.080310,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
91,8.083088,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
92,8.085866,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
93,8.088644,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
94,8.091422,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
95,8.094200,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
96,8.096978,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
97,8.099756,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
98,8.102534,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
99,8.105312,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
100,8.108090,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
101,8.110868,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
102,8.113647,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
103,8.116425,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
104,8.119203,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
105,8.121981,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
106,8.124759,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
107,8.127537,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
108,8.130315,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
109,8.133093,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
110,8.135871,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
111,8.138649,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
112,8.141427,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
113,8.144205,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
114,8.146983,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
115,8.149761,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
116,8.152539,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
117,8.155317,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
118,8.158095,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
119,8.160873,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
120,8.163651,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
121,8.166430,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
122,8.169208,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
123,8.171986,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
124,8.174764,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
125,8.177542,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
126,8.180320,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
127,8.183098,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
128,8.185876,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
129,8.188654,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
130,8.191432,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
131,8.194210,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
132,8.196988,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
133,8.199766,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
134,8.202544,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
135,8.205322,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
136,8.208100,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
137,8.210878,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
138,8.213656,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
139,8.216434,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
140,8.219213,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
141,8.221991,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
142,8.224769,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
143,8.227547,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
144,8.230325,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
145,8.233103,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
146,8.235881,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
147,8.238659,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
148,8.241437,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
149,8.244215,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
150,8.246993,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
151,8.249771,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
152,8.252549,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
153,8.255327,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
154,8.258105,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
