step,time_hr,lineup_index,pressure_psia,demand_gpm,hydraulic_capacity_gpm,achieved_gpm,lineup_event,trigger,reason,phase
1,0.000000,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
2,0.002778,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
3,0.005556,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
4,0.008333,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
5,0.011111,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
6,0.013889,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
7,0.016667,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
8,0.019444,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
9,0.022222,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
10,0.025000,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
11,0.027778,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
12,0.030556,1,2249.700000,120.000000,75.004940,75.004940,0,NONE,FIXED_LINEUP_WINDOW,FIXED_LINEUP_1X75
13,0.033333,3,2249.700000,120.000000,120.000000,120.000000,1,RUNNER_EXPLICIT_EVENT,MICRO_RUN_STEP_CHANGE_PROOF,EXPLICIT_LINEUP_EVENT
