attempt_index,time_hr,converged,volume_residual_ft3,energy_residual_btu,failure_reason,pattern,iterations,phase_fraction,bubble_phase,v_total_ft3,m_total_lbm,u_total_btu,operating_pmin_psia,operating_pmax_psia,hard_pmin_psia,hard_pmax_psia,bracket_low_psia,bracket_high_psia,v_residual_low_ft3,v_residual_high_ft3,sign_low,sign_high,regime_low,regime_high,bracket_windows,valid_evals,invalid_evals,nan_evals,out_of_range_evals,bracket_found,bracket_trace
1,7.835870,0,-0.959998,0.000000,MASS_CONTRACT_RESIDUAL,MONOTONIC_DESCENT,2,0.000000,DRAIN,1800.000000,93822.910000,38723180.000000,334.700000,2349.700000,20.000000,2800.000000,363.458700,364.215900,21.869660,-0.911255,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.286 Pmax=381.632 status_low=OK status_high=OK Vres_low=800.302 Vres_high=-1.163 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
2,7.838647,1,-0.536155,0.000000,NONE,MONOTONIC_DESCENT,2,0.000004,DRAIN,1800.000000,93822.910000,38723480.000000,334.700000,2349.700000,20.000000,2800.000000,363.458700,364.215900,22.294190,-0.911255,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.286 Pmax=381.632 status_low=OK status_high=OK Vres_low=800.745 Vres_high=-1.158 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
3,7.838647,0,-0.536155,0.000000,NONE,MONOTONIC_DESCENT,2,0.000004,DRAIN,1800.000000,93822.910000,38723480.000000,334.700000,2349.700000,20.000000,2800.000000,363.458700,364.215900,22.294190,-0.911255,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.286 Pmax=381.632 status_low=OK status_high=OK Vres_low=800.745 Vres_high=-1.158 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
4,7.841425,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
5,7.844203,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
6,7.846980,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
7,7.849758,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
8,7.852535,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
9,7.855313,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
10,7.858090,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
11,7.860868,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
12,7.863646,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
13,7.866423,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
14,7.869201,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
15,7.871978,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
16,7.874756,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
17,7.877533,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
18,7.880311,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
19,7.883089,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
20,7.885866,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
21,7.888644,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
22,7.891421,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
23,7.894199,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
24,7.896976,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
25,7.899754,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
26,7.902532,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
27,7.905309,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
28,7.908087,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
29,7.910864,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
