time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_prev,lineup_curr,lineup_event,lineup_event_count,lineup_event_prev,lineup_event_new,lineup_event_trigger,lineup_event_reason,lineup_demand,drain_policy,drain_demand_gpm,drain_hydraulic_capacity_gpm,drain_letdown_saturated,drain_letdown_gpm,drain_expected_gpm,drain_charging_gpm,drain_net_outflow_gpm,drain_deltaP_psi,drain_density_lbm_ft3,drain_quality,d_achieved_gpm,d_capacity_gpm,d_deltaP_psi,d_density,d_quality,delta_cause
7.833092,363.458700,1,0,1,1,0,0,1,1,NONE,NONE,1,LINEUP_HYDRAULIC_CAUSAL,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,DRAIN_ENTRY
7.835870,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,120.000000,75.000000,1,75.000000,75.000000,0.000000,75.000000,8.758698,52.158740,0.000000,75.000000,75.000000,8.758698,52.158740,0.000000,SATURATION_FEEDBACK
7.838647,364.548000,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.967200,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000000,0.000000,0.000000,0.567902,-0.006374,0.000000,NO_EFFECTIVE_DELTA
7.841425,365.070100,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.916800,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.847992,52.146510,0.000023,0.000000,0.000000,0.521393,-0.005852,0.000023,NO_EFFECTIVE_DELTA
7.844203,365.640600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.866500,75.000000,1,75.000000,75.000000,0.000000,75.000000,10.370120,52.140660,0.000045,0.000000,0.000000,0.522125,-0.005856,0.000023,NO_EFFECTIVE_DELTA
7.846980,366.164200,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.817900,75.000000,1,75.000000,75.000000,0.000000,75.000000,10.940550,52.134270,0.000050,0.000000,0.000000,0.570435,-0.006390,0.000004,NO_EFFECTIVE_DELTA
7.849758,366.736400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.767500,75.000000,1,75.000000,75.000000,0.000000,75.000000,11.464230,52.128400,0.000073,0.000000,0.000000,0.523682,-0.005867,0.000023,NO_EFFECTIVE_DELTA
7.852535,367.261700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.718900,75.000000,1,75.000000,75.000000,0.000000,75.000000,12.036380,52.122000,0.000078,0.000000,0.000000,0.572144,-0.006401,0.000005,NO_EFFECTIVE_DELTA
7.855313,367.835500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.668500,75.000000,1,75.000000,75.000000,0.000000,75.000000,12.561650,52.116130,0.000101,0.000000,0.000000,0.525269,-0.005871,0.000023,NO_EFFECTIVE_DELTA
7.858090,368.362400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.619900,75.000000,1,75.000000,75.000000,0.000000,75.000000,13.135500,52.109720,0.000106,0.000000,0.000000,0.573853,-0.006409,0.000005,NO_EFFECTIVE_DELTA
