step,time_hr,pressure_abs_error_psia,pzr_level_abs_error_pct,primary_mass_abs_error_lb
1,0.00277777785,0,0,0
2,0.00555555569,0,0,0
3,0.008333334,0,0,0
4,0.0111111114,0,0,0
5,0.013888889,0,0,0
6,0.0166666675,0,0,0
7,0.0194444451,0,0,0
8,0.0222222228,0,0,0
9,0.025,0,0,0
10,0.027777778,0,0,0
11,0.0305555556,0,0,0
12,0.0333333351,0,0,0
13,0.0361111127,0,0,0
14,0.03888889,0,0,0
15,0.0416666679,0,0,0
16,0.0444444455,0,0,0
17,0.0472222231,0,0,0
18,0.05,0,0,0
19,0.05277778,0,0,0
20,0.055555556,0,0,0
21,0.0583333336,0,0,0
22,0.06111111,0,0,0
23,0.06388889,0,0,0
24,0.06666667,0,0,0
25,0.06944445,0,0,0
26,0.0722222254,0,0,0
27,0.075,0,0,0
28,0.07777778,0,0,0
29,0.08055556,0,0,0
30,0.0833333358,0,0,0
31,0.08611111,0,0,0
32,0.08888889,0,0,0
33,0.09166667,0,0,0
34,0.0944444463,0,0,0
35,0.0972222239,0,0,0
36,0.1,0,0,0
37,0.102777779,0,0,0
38,0.105555557,0,0,0
39,0.108333334,0,0,0
40,0.111111112,0,0,0
41,0.11388889,0,0,0
42,0.116666667,0,0,0
43,0.119444445,0,0,0
44,0.122222222,0,0,0
45,0.125,0,0,0
46,0.127777785,0,0,0
47,0.13055557,0,0,0
48,0.133333355,0,0,0
49,0.13611114,0,0,0
50,0.138888925,0,0,0
51,0.14166671,0,0,0
52,0.1444445,0,0,0
53,0.147222281,0,0,0
54,0.150000066,0,0,0
55,0.152777851,0,0,0
56,0.155555636,0,0,0
57,0.158333421,0,0,0
58,0.1611112,0,0,0
59,0.163888991,0,0,0
60,0.166666776,0,0,0
61,0.169444561,0,0,0
62,0.172222346,0,0,0
63,0.175000131,0,0,0
64,0.177777916,0,0,0
65,0.1805557,0,0,0
66,0.183333486,0,0,0
67,0.186111271,0,0,0
68,0.188889056,0,0,0
69,0.191666842,0,0,0
70,0.194444627,0,0,0
71,0.197222412,0,0,0
72,0.2000002,0,0,0
73,0.202777982,0,0,0
74,0.205555767,0,0,0
75,0.208333552,0,0,0
76,0.211111337,0,0,0
77,0.213889122,0,0,0
78,0.2166669,0,0,0
79,0.219444692,0,0,0
80,0.222222477,0,0,0
81,0.225000262,0,0,0
82,0.227778047,0,0,0
83,0.230555832,0,0,0
84,0.233333617,0,0,0
85,0.2361114,0,0,0
86,0.238889188,0,0,0
87,0.241666973,0,0,0
88,0.244444758,0,0,0
89,0.247222543,0,0,0
90,0.250000328,0,0,0
91,0.2527781,0,0,0
92,0.2555559,0,0,0
93,0.258333683,0,0,0
94,0.261111468,0,0,0
95,0.263889253,0,0,0
96,0.266667038,0,0,0
97,0.269444823,0,0,0
98,0.2722226,0,0,0
99,0.2750004,0,0,0
100,0.277778178,0,0,0
101,0.280555964,0,0,0
102,0.283333749,0,0,0
103,0.286111534,0,0,0
104,0.288889319,0,0,0
105,0.2916671,0,0,0
106,0.2944449,0,0,0
107,0.297222674,0,0,0
108,0.300000459,0,0,0
109,0.302778244,0,0,0
110,0.305556029,0,0,0
111,0.3083338,0,0,0
112,0.3111116,0,0,0
113,0.313889384,0,0,0
114,0.316667169,0,0,0
115,0.319444954,0,0,0
116,0.322222739,0,0,0
117,0.325000525,0,0,0
118,0.3277783,0,0,0
119,0.3305561,0,0,0
120,0.33333388,0,0,0
121,0.336111665,0,0,0
122,0.33888945,0,0,0
123,0.341667235,0,0,0
124,0.34444502,0,0,0
125,0.3472228,0,0,0
126,0.3500006,0,0,0
127,0.352778375,0,0,0
128,0.35555616,0,0,0
129,0.358333945,0,0,0
130,0.36111173,0,0,0
131,0.363889515,0,0,0
132,0.3666673,0,0,0
133,0.3694451,0,0,0
