step,time_hr,heater_legacy_mw,heater_ledger_mw,heater_abs_error_mw,ledger_event_count,unledgered_mutation,unledgered_reason
1,0.00277777785,0,0,0,3,False,""
2,0.00555555569,0,0,0,3,False,""
3,0.008333334,1.794,1.794,0,4,False,""
4,0.0111111114,1.794,1.794,0,4,False,""
5,0.013888889,1.76410007,1.76410007,0,4,False,""
6,0.0166666675,1.73420012,1.73420012,0,4,False,""
7,0.0194444451,1.70430017,1.70430017,0,4,False,""
8,0.0222222228,1.67440009,1.67440009,0,4,False,""
9,0.025,1.64450014,1.64450014,0,4,False,""
10,0.027777778,1.61460018,1.61460018,0,4,False,""
11,0.0305555556,1.58470023,1.58470023,0,4,False,""
12,0.0333333351,1.55480027,1.55480027,0,4,False,""
13,0.0361111127,1.52490032,1.52490032,0,4,False,""
14,0.03888889,1.49500036,1.49500036,0,4,False,""
15,0.0416666679,1.46510029,1.46510029,0,4,False,""
16,0.0444444455,1.43520033,1.43520033,0,4,False,""
17,0.0472222231,1.40530038,1.40530038,0,4,False,""
18,0.05,1.37540042,1.37540042,0,4,False,""
19,0.05277778,1.34550047,1.34550047,0,4,False,""
20,0.055555556,1.31560051,1.31560051,0,4,False,""
21,0.0583333336,1.28570056,1.28570056,0,4,False,""
22,0.06111111,1.25580049,1.25580049,0,4,False,""
23,0.06388889,1.22590053,1.22590053,0,4,False,""
24,0.06666667,1.19600058,1.19600058,0,4,False,""
25,0.06944445,1.16610062,1.16610062,0,4,False,""
26,0.0722222254,1.13620067,1.13620067,0,4,False,""
27,0.075,1.10630071,1.10630071,0,4,False,""
28,0.07777778,1.07640076,1.07640076,0,4,False,""
29,0.08055556,1.04650068,1.04650068,0,4,False,""
30,0.0833333358,1.01660073,1.01660073,0,4,False,""
31,0.08611111,0.9867008,0.9867008,0,4,False,""
32,0.08888889,0.9568008,0.9568008,0,4,False,""
33,0.09166667,0.926900864,0.926900864,0,4,False,""
34,0.0944444463,0.897000849,0.897000849,0,4,False,""
35,0.0972222239,0.867100835,0.867100835,0,4,False,""
36,0.1,0.8372008,0.8372008,0,4,False,""
37,0.102777779,0.8073008,0.8073008,0,4,False,""
38,0.105555557,0.7774008,0.7774008,0,4,False,""
39,0.108333334,0.7475007,0.7475007,0,4,False,""
40,0.111111112,0.7176007,0.7176007,0,4,False,""
41,0.11388889,0.6877007,0.6877007,0,4,False,""
42,0.116666667,0.6578007,0.6578007,0,4,False,""
43,0.119444445,0.62790066,0.62790066,0,4,False,""
44,0.122222222,0.5980006,0.5980006,0,4,False,""
45,0.125,0.5681006,0.5681006,0,4,False,""
46,0.127777785,0.538200557,0.538200557,0,4,False,""
47,0.13055557,0.508300543,0.508300543,0,4,False,""
48,0.133333355,0.478400528,0.478400528,0,4,False,""
49,0.13611114,0.448500484,0.448500484,0,4,False,""
50,0.138888925,0.4186005,0.4186005,0,4,False,""
51,0.14166671,0.3887005,0.3887005,0,4,False,""
